--- Terminal on /dev/cu.usbmodem2101 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
15->16 dist=3
503964,0,65,134,2690,21428,20,5190,16014,2.000000,21428
503965,0,73,136,2731,21428,20,5190,16260,2.000000,21428
FLICKER@288: arm0 frame=503967 angle=2892 pat=15->16 dist=12
503966,0,133,138,2772,21428,20,5190,16505,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503968 angle=3062 pat=16->17 dist=2
503967,0,168,141,2822,21428,20,5190,16799,2.000000,21428
503968,0,65,143,2878,21428,20,5190,17135,2.000000,21428
FLICKER@288: arm1 frame=503970 angle=2919 pat=15->16 dist=39
503969,0,131,145,2919,21428,20,5190,17377,2.000000,21428
503970,0,66,148,2971,21428,20,5190,17686,2.000000,21428
503971,0,69,150,3010,21428,20,5190,17920,2.000000,21428
503972,0,66,152,3051,21428,20,5190,18161,2.000000,21428
503973,0,70,154,3091,21428,20,5190,18403,2.000000,21428
503974,0,66,156,3135,21428,20,5190,18661,2.000000,21428
503975,0,71,158,3174,21428,20,5190,18893,2.000000,21428
503976,0,66,160,3214,21428,20,5190,19131,2.000000,21428
503977,0,70,162,3255,21428,20,5190,19377,2.000000,21428
503978,0,67,164,3296,21428,20,5190,19619,2.000000,21428
503979,0,69,166,3336,21428,20,5190,19860,2.000000,21428
503980,0,68,168,3376,21428,20,5190,20097,2.000000,21428
503981,0,72,170,3417,21428,20,5190,20343,2.000000,21428
503982,0,75,172,3458,21428,20,5190,20585,2.000000,21428
503983,0,69,174,3499,21428,20,5190,20828,2.000000,21428
503984,0,67,176,3538,21428,20,5190,21064,2.000000,21428
503985,0,73,178,3579,21428,20,5190,21308,2.000000,21428
503986,0,69,1,23,21428,20,5191,139,2.000000,21428
BOUNDARY_FLICKER: arm0 frame=503988 angle=181 pat=0->1 dist=1
